,PCE,Molecule SMILE,SMILES
2597,5.5,CCCCC(CN1c2cc(ccc2/C(=C/2\C(=O)N(c3c2ccc(c3)c2ccc(s2)/C=C(/C(=O)O)\C#N)CC(CCCC)CC)/C1=O)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)CC,CCCCC(CN1c2cc(ccc2/C(=C/2\\C(=O)N(c3c2ccc(c3)c2ccc(s2)/C=C(/C(=O)O)\\C#N)CC(CCCC)CC)/C1=O)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)CC
2598,0.2,N#CC(=C1OC(C(=C1C#N)/C=C/c1n2ccccc2c(c1c1ccc(cc1)CCC(=O)O)C)(C)C)C#N,N#CC(=C1OC(C(=C1C#N)/C=C/c1n2ccccc2c(c1c1ccc(cc1)CCC(=O)O)C)(C)C)C#N
2599,0.77,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)/C=C(/C(=O)O)\C#N,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)/C=C(/C(=O)O)\\C#N
2600,0.86,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)/C=C(/C(=O)O)\C#N,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)/C=C(/C(=O)O)\\C#N
2601,3.07,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)c1ccc(s1)/C=C(/C(=O)O)\C#N,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)c1ccc(s1)/C=C(/C(=O)O)\\C#N
2602,3.45,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)c1ccc(s1)/C=C(/C(=O)O)\C#N,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)c1ccc(s1)/C=C(/C(=O)O)\\C#N
2603,0.63,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)C#Cc1ccc(cc1)/C=C(/C(=O)O)\C#N,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)C#Cc1ccc(cc1)/C=C(/C(=O)O)\\C#N
2604,4.38,CCCCCCCCCCCCc1cc(sc1c1cc2c(s1)cc(s2)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)C1C3CCC(C1N2c1ccc(cc1)C=C(c1ccccc1)c1ccccc1)C3,CCCCCCCCCCCCc1cc(sc1c1cc2c(s1)cc(s2)/C=C(\\C(=O)O)/C#N)c1ccc2c(c1)C1C3CCC(C1N2c1ccc(cc1)C=C(c1ccccc1)c1ccccc1)C3
2605,8.8,CCCCCC[Si]1(CCCCCC)c2cc(sc2c2c1cc(s2)C=C(C(=O)O)C#N)c1sc(c2c1OCCO2)c1ccc(cc1)N(c1ccc(cc1)OCC(CCCC)CC)c1ccc(cc1)OCC(CCCC)CC,CCCCCC[Si]1(CCCCCC)c2cc(sc2c2c1cc(s2)C=C(C(=O)O)C#N)c1sc(c2c1OCCO2)c1ccc(cc1)N(c1ccc(cc1)OCC(CCCC)CC)c1ccc(cc1)OCC(CCCC)CC
2606,8.4,CCCCCC[Si]1(CCCCCC)c2cc(sc2c2c1cc(s2)C=C(C(=O)O)C#N)c1sc(c2c1OCCO2)c1ccc(cc1)N(c1ccc(cc1)OCC(CCCC)CC)c1ccc(cc1)OCC(CCCC)CC,CCCCCC[Si]1(CCCCCC)c2cc(sc2c2c1cc(s2)C=C(C(=O)O)C#N)c1sc(c2c1OCCO2)c1ccc(cc1)N(c1ccc(cc1)OCC(CCCC)CC)c1ccc(cc1)OCC(CCCC)CC
